age,workclass,fnlwgt,education,education.num,marital.status,occupation,relationship,race,sex,capital.gain,capital.loss,hours.per.week,native.country,earns,fold
32.0,Self-emp-inc,317660.0,HS-grad,9.0,Married-civ-spouse,Craft-repair,Husband,White,Male,7688.0,0.0,40.0,United-States,>50K,2
30.0,Private,194901.0,11th,7.0,Never-married,Handlers-cleaners,Own-child,White,Male,0.0,0.0,40.0,United-States,<=50K,4
31.0,Local-gov,189265.0,HS-grad,9.0,Never-married,Adm-clerical,Not-in-family,White,Female,0.0,0.0,40.0,United-States,<=50K,2
24.0,Private,432376.0,Bachelors,13.0,Never-married,Sales,Other-relative,White,Male,0.0,0.0,40.0,United-States,<=50K,1
56.0,Self-emp-not-inc,335605.0,HS-grad,9.0,Married-civ-spouse,Other-service,Husband,White,Male,0.0,1887.0,50.0,Canada,>50K,5
49.0,Local-gov,197371.0,Assoc-voc,11.0,Married-civ-spouse,Craft-repair,Husband,Black,Male,0.0,0.0,40.0,United-States,>50K,5
29.0,State-gov,267989.0,Bachelors,13.0,Married-civ-spouse,Prof-specialty,Husband,White,Male,0.0,0.0,50.0,United-States,>50K,5
47.0,Private,287828.0,Bachelors,13.0,Married-civ-spouse,Exec-managerial,Wife,White,Female,0.0,0.0,40.0,United-States,>50K,4
31.0,Private,114937.0,Assoc-acdm,12.0,Married-civ-spouse,Adm-clerical,Husband,White,Male,0.0,0.0,40.0,United-States,>50K,1
38.0,Federal-gov,125933.0,Masters,14.0,Married-civ-spouse,Prof-specialty,Husband,White,Male,0.0,0.0,40.0,Iran,>50K,3
43.0,Self-emp-not-inc,56920.0,HS-grad,9.0,Married-civ-spouse,Craft-repair,Husband,White,Male,0.0,0.0,60.0,United-States,<=50K,2
61.0,Self-emp-inc,66614.0,HS-grad,9.0,Married-civ-spouse,Craft-repair,Husband,White,Male,0.0,0.0,40.0,United-States,<=50K,2
23.0,Private,214542.0,Bachelors,13.0,Never-married,Handlers-cleaners,Not-in-family,White,Male,0.0,0.0,40.0,United-States,<=50K,2
68.0,?,38317.0,1st-4th,2.0,Divorced,?,Not-in-family,White,Female,0.0,0.0,20.0,United-States,<=50K,5
44.0,Self-emp-inc,78374.0,Masters,14.0,Divorced,Exec-managerial,Unmarried,Asian-Pac-Islander,Female,0.0,0.0,40.0,United-States,<=50K,4
36.0,Private,207157.0,Some-college,10.0,Divorced,Other-service,Unmarried,White,Female,0.0,0.0,40.0,Mexico,<=50K,5
39.0,Federal-gov,235485.0,Assoc-acdm,12.0,Never-married,Exec-managerial,Not-in-family,White,Male,0.0,0.0,42.0,United-States,<=50K,3
28.0,State-gov,175325.0,HS-grad,9.0,Married-civ-spouse,Protective-serv,Husband,White,Male,0.0,0.0,40.0,United-States,<=50K,2
34.0,Private,483777.0,HS-grad,9.0,Never-married,Handlers-cleaners,Not-in-family,Black,Male,0.0,0.0,40.0,United-States,<=50K,4
18.0,Private,183930.0,HS-grad,9.0,Never-married,Other-service,Own-child,White,Male,0.0,0.0,12.0,United-States,<=50K,3
44.0,Local-gov,181344.0,Some-college,10.0,Married-civ-spouse,Exec-managerial,Husband,Black,Male,0.0,0.0,38.0,United-States,>50K,5
30.0,Private,633742.0,Some-college,10.0,Never-married,Craft-repair,Not-in-family,Black,Male,0.0,0.0,45.0,United-States,<=50K,1
40.0,Private,286370.0,7th-8th,4.0,Married-civ-spouse,Machine-op-inspct,Husband,White,Male,0.0,0.0,40.0,Mexico,>50K,1
37.0,Federal-gov,29054.0,Some-college,10.0,Married-civ-spouse,Adm-clerical,Husband,White,Male,0.0,0.0,42.0,United-States,>50K,4
58.0,State-gov,109567.0,Doctorate,16.0,Married-civ-spouse,Prof-specialty,Husband,White,Male,0.0,0.0,1.0,United-States,>50K,5
38.0,Private,155222.0,Some-college,10.0,Divorced,Machine-op-inspct,Not-in-family,Black,Female,0.0,0.0,28.0,United-States,<=50K,5
41.0,Local-gov,523910.0,Bachelors,13.0,Married-civ-spouse,Craft-repair,Husband,Black,Male,0.0,0.0,40.0,United-States,<=50K,4
47.0,Private,120939.0,Some-college,10.0,Married-civ-spouse,Tech-support,Husband,White,Male,0.0,0.0,45.0,United-States,<=50K,3
23.0,Private,197387.0,5th-6th,3.0,Married-civ-spouse,Transport-moving,Other-relative,White,Male,0.0,0.0,40.0,Mexico,<=50K,5
35.0,Private,138992.0,Masters,14.0,Married-civ-spouse,Prof-specialty,Other-relative,White,Male,7298.0,0.0,40.0,United-States,>50K,4
24.0,Self-emp-not-inc,32921.0,HS-grad,9.0,Never-married,Sales,Not-in-family,White,Male,0.0,0.0,40.0,United-States,<=50K,5
42.0,Local-gov,254817.0,Some-college,10.0,Never-married,Prof-specialty,Not-in-family,White,Female,0.0,1340.0,40.0,United-States,<=50K,5
37.0,State-gov,48211.0,HS-grad,9.0,Divorced,Adm-clerical,Unmarried,White,Female,0.0,0.0,35.0,United-States,<=50K,2
36.0,Private,128757.0,Bachelors,13.0,Married-civ-spouse,Other-service,Husband,Black,Male,7298.0,0.0,36.0,United-States,>50K,4
44.0,Local-gov,160943.0,HS-grad,9.0,Married-civ-spouse,Transport-moving,Husband,Black,Male,0.0,0.0,40.0,United-States,<=50K,3
54.0,Self-emp-inc,125417.0,7th-8th,4.0,Married-civ-spouse,Machine-op-inspct,Husband,White,Male,0.0,0.0,40.0,United-States,>50K,5
50.0,Private,313321.0,Assoc-acdm,12.0,Divorced,Sales,Not-in-family,White,Female,0.0,0.0,40.0,United-States,<=50K,3
45.0,Private,109434.0,Bachelors,13.0,Married-civ-spouse,Prof-specialty,Husband,White,Male,0.0,0.0,55.0,United-States,<=50K,5
64.0,?,187656.0,1st-4th,2.0,Divorced,?,Not-in-family,White,Male,0.0,0.0,40.0,United-States,<=50K,5
60.0,?,24215.0,10th,6.0,Divorced,?,Not-in-family,Amer-Indian-Eskimo,Female,0.0,0.0,10.0,United-States,<=50K,2
66.0,Self-emp-not-inc,167687.0,HS-grad,9.0,Married-civ-spouse,Farming-fishing,Husband,White,Male,1409.0,0.0,50.0,United-States,<=50K,1
75.0,Private,314209.0,Assoc-voc,11.0,Widowed,Adm-clerical,Not-in-family,White,Female,0.0,0.0,20.0,Columbia,<=50K,3
35.0,Private,538583.0,11th,7.0,Separated,Transport-moving,Not-in-family,Black,Male,3674.0,0.0,40.0,United-States,<=50K,4
33.0,Private,110978.0,Some-college,10.0,Divorced,Craft-repair,Other-relative,Other,Female,0.0,0.0,40.0,United-States,<=50K,4
59.0,State-gov,268700.0,HS-grad,9.0,Married-civ-spouse,Other-service,Husband,White,Male,0.0,0.0,40.0,United-States,<=50K,3
40.0,State-gov,170525.0,Some-college,10.0,Never-married,Adm-clerical,Not-in-family,White,Female,0.0,0.0,38.0,United-States,<=50K,5
38.0,Local-gov,115076.0,Masters,14.0,Married-civ-spouse,Exec-managerial,Husband,White,Male,0.0,0.0,70.0,United-States,>50K,5
40.0,Private,347890.0,Bachelors,13.0,Married-civ-spouse,Prof-specialty,Husband,White,Male,0.0,0.0,40.0,United-States,>50K,3
41.0,Self-emp-not-inc,196001.0,HS-grad,9.0,Married-civ-spouse,Other-service,Wife,White,Female,0.0,0.0,20.0,United-States,<=50K,2
56.0,Private,203580.0,HS-grad,9.0,Married-civ-spouse,Adm-clerical,Husband,White,Male,0.0,0.0,35.0,?,<=50K,4
45.0,Private,153141.0,HS-grad,9.0,Married-civ-spouse,Adm-clerical,Husband,White,Male,0.0,0.0,40.0,?,<=50K,5
42.0,Private,390781.0,Bachelors,13.0,Married-civ-spouse,Adm-clerical,Wife,Black,Female,0.0,0.0,40.0,United-States,<=50K,2
19.0,Local-gov,27382.0,Some-college,10.0,Never-married,Adm-clerical,Own-child,White,Male,0.0,0.0,40.0,United-States,<=50K,3
58.0,Private,259014.0,Some-college,10.0,Never-married,Transport-moving,Not-in-family,White,Male,0.0,0.0,20.0,United-States,<=50K,4
32.0,Private,172579.0,HS-grad,9.0,Separated,Other-service,Not-in-family,White,Female,0.0,0.0,30.0,United-States,<=50K,4
45.0,Private,187666.0,Assoc-voc,11.0,Widowed,Exec-managerial,Not-in-family,White,Female,0.0,0.0,45.0,United-States,<=50K,2
50.0,Private,204518.0,7th-8th,4.0,Divorced,Craft-repair,Not-in-family,White,Male,0.0,0.0,40.0,United-States,<=50K,2
36.0,Private,150042.0,Bachelors,13.0,Divorced,Prof-specialty,Own-child,White,Female,0.0,0.0,40.0,United-States,<=50K,1
17.0,Private,245918.0,11th,7.0,Never-married,Other-service,Own-child,White,Male,0.0,0.0,12.0,United-States,<=50K,2
59.0,Private,146013.0,Some-college,10.0,Married-civ-spouse,Sales,Husband,White,Male,4064.0,0.0,40.0,United-States,<=50K,1
19.0,?,218956.0,Some-college,10.0,Never-married,?,Own-child,White,Male,0.0,0.0,24.0,Canada,<=50K,5
33.0,Private,185480.0,Bachelors,13.0,Never-married,Prof-specialty,Not-in-family,White,Female,0.0,0.0,45.0,United-States,<=50K,4
33.0,Private,222205.0,HS-grad,9.0,Married-civ-spouse,Craft-repair,Wife,White,Female,0.0,0.0,40.0,United-States,>50K,4
17.0,Private,191260.0,9th,5.0,Never-married,Other-service,Own-child,White,Male,1055.0,0.0,24.0,United-States,<=50K,2
44.0,Private,170924.0,Some-college,10.0,Married-civ-spouse,Craft-repair,Husband,White,Male,7298.0,0.0,40.0,United-States,>50K,4
25.0,Private,193787.0,Some-college,10.0,Never-married,Tech-support,Own-child,White,Female,0.0,0.0,40.0,United-States,<=50K,3
22.0,Private,34918.0,Bachelors,13.0,Never-married,Prof-specialty,Not-in-family,White,Female,0.0,0.0,15.0,Germany,<=50K,2
42.0,Local-gov,97688.0,Some-college,10.0,Married-civ-spouse,Craft-repair,Husband,White,Male,5178.0,0.0,40.0,United-States,>50K,1
57.0,Federal-gov,425161.0,Masters,14.0,Married-civ-spouse,Sales,Husband,White,Male,15024.0,0.0,40.0,United-States,>50K,5
41.0,Private,220531.0,Prof-school,15.0,Married-civ-spouse,Prof-specialty,Husband,White,Male,0.0,0.0,60.0,United-States,>50K,3
50.0,Private,176609.0,Some-college,10.0,Divorced,Other-service,Not-in-family,White,Male,0.0,0.0,45.0,United-States,<=50K,4
29.0,Local-gov,220419.0,Bachelors,13.0,Never-married,Protective-serv,Not-in-family,White,Male,0.0,0.0,56.0,United-States,<=50K,3
37.0,Self-emp-inc,57424.0,Bachelors,13.0,Divorced,Sales,Not-in-family,White,Female,0.0,0.0,60.0,United-States,<=50K,5
39.0,?,157443.0,Masters,14.0,Married-civ-spouse,?,Wife,Asian-Pac-Islander,Female,3464.0,0.0,40.0,?,<=50K,1
24.0,Private,278130.0,HS-grad,9.0,Never-married,Craft-repair,Own-child,White,Male,0.0,0.0,40.0,United-States,<=50K,2
48.0,Private,146268.0,Bachelors,13.0,Married-civ-spouse,Adm-clerical,Husband,White,Male,7688.0,0.0,40.0,United-States,>50K,5
55.0,Private,238638.0,HS-grad,9.0,Married-civ-spouse,Sales,Husband,White,Male,4386.0,0.0,40.0,United-States,>50K,1
43.0,Private,173321.0,HS-grad,9.0,Divorced,Adm-clerical,Not-in-family,White,Female,0.0,0.0,40.0,United-States,<=50K,3
26.0,Private,193945.0,Assoc-acdm,12.0,Never-married,Tech-support,Not-in-family,White,Male,0.0,0.0,45.0,United-States,<=50K,3
77.0,Self-emp-not-inc,138714.0,Some-college,10.0,Married-civ-spouse,Sales,Husband,White,Male,0.0,0.0,40.0,United-States,<=50K,4
43.0,Private,50356.0,Some-college,10.0,Married-civ-spouse,Craft-repair,Husband,White,Male,0.0,1485.0,50.0,United-States,<=50K,2
55.0,Local-gov,98545.0,10th,6.0,Married-civ-spouse,Adm-clerical,Husband,White,Male,0.0,0.0,40.0,United-States,<=50K,5
53.0,Private,242606.0,HS-grad,9.0,Married-civ-spouse,Transport-moving,Husband,White,Male,0.0,0.0,40.0,United-States,<=50K,1
30.0,Private,94235.0,HS-grad,9.0,Never-married,Craft-repair,Other-relative,White,Male,0.0,0.0,40.0,United-States,<=50K,2
19.0,Private,104112.0,HS-grad,9.0,Never-married,Sales,Unmarried,Black,Male,0.0,0.0,30.0,Haiti,<=50K,3
38.0,Private,296478.0,Assoc-voc,11.0,Married-civ-spouse,Craft-repair,Husband,White,Male,7298.0,0.0,40.0,United-States,>50K,5
30.0,?,151989.0,Assoc-voc,11.0,Divorced,?,Unmarried,White,Female,0.0,0.0,40.0,United-States,<=50K,2
56.0,Private,101128.0,Assoc-acdm,12.0,Married-spouse-absent,Other-service,Not-in-family,White,Male,0.0,0.0,25.0,Iran,<=50K,3
31.0,Private,156464.0,Bachelors,13.0,Never-married,Prof-specialty,Own-child,White,Male,0.0,0.0,25.0,United-States,<=50K,2
33.0,Private,111363.0,Bachelors,13.0,Married-civ-spouse,Exec-managerial,Husband,White,Male,0.0,0.0,40.0,United-States,>50K,1
38.0,Federal-gov,95432.0,HS-grad,9.0,Married-civ-spouse,Adm-clerical,Husband,White,Male,0.0,0.0,40.0,United-States,>50K,2
65.0,Private,161400.0,11th,7.0,Widowed,Other-service,Unmarried,Other,Male,0.0,0.0,40.0,United-States,<=50K,5
62.0,Private,270092.0,Masters,14.0,Married-civ-spouse,Prof-specialty,Husband,White,Male,0.0,0.0,40.0,United-States,>50K,4
43.0,Private,180609.0,Bachelors,13.0,Married-civ-spouse,Transport-moving,Husband,White,Male,0.0,0.0,45.0,United-States,<=50K,4
22.0,Private,410439.0,HS-grad,9.0,Married-spouse-absent,Sales,Not-in-family,White,Male,0.0,0.0,55.0,United-States,<=50K,5
28.0,Private,92262.0,HS-grad,9.0,Married-civ-spouse,Craft-repair,Husband,White,Male,0.0,0.0,40.0,United-States,<=50K,4
56.0,Self-emp-not-inc,183081.0,Some-college,10.0,Married-civ-spouse,Sales,Husband,White,Male,0.0,0.0,45.0,United-States,<=50K,4
57.0,Private,212448.0,Bachelors,13.0,Divorced,Exec-managerial,Not-in-family,White,Female,0.0,0.0,45.0,United-States,>50K,5
40.0,State-gov,184018.0,Assoc-voc,11.0,Married-civ-spouse,Machine-op-inspct,Husband,White,Male,0.0,0.0,38.0,United-States,>50K,2
45.0,Private,256649.0,HS-grad,9.0,Married-civ-spouse,Machine-op-inspct,Husband,Black,Male,0.0,0.0,40.0,United-States,<=50K,2
33.0,Private,267404.0,HS-grad,9.0,Married-civ-spouse,Craft-repair,Wife,White,Female,0.0,0.0,40.0,United-States,<=50K,2
23.0,Private,35633.0,Some-college,10.0,Never-married,Sales,Not-in-family,White,Male,0.0,0.0,40.0,United-States,<=50K,3
25.0,Private,344991.0,Some-college,10.0,Married-civ-spouse,Craft-repair,Husband,White,Male,0.0,0.0,40.0,United-States,<=50K,4
29.0,Private,134152.0,HS-grad,9.0,Separated,Machine-op-inspct,Not-in-family,White,Male,0.0,0.0,40.0,United-States,<=50K,5
19.0,Private,25429.0,Some-college,10.0,Never-married,Adm-clerical,Own-child,White,Female,0.0,0.0,16.0,United-States,<=50K,4
46.0,Self-emp-not-inc,277946.0,Assoc-acdm,12.0,Separated,Craft-repair,Not-in-family,White,Male,0.0,0.0,40.0,United-States,<=50K,4
34.0,State-gov,98101.0,Bachelors,13.0,Married-civ-spouse,Exec-managerial,Husband,White,Male,7688.0,0.0,45.0,?,>50K,5
34.0,Private,196164.0,HS-grad,9.0,Never-married,Other-service,Not-in-family,White,Female,0.0,0.0,35.0,United-States,<=50K,2
44.0,Private,115562.0,Some-college,10.0,Married-civ-spouse,Tech-support,Husband,White,Male,0.0,0.0,40.0,United-States,<=50K,3
20.0,?,137300.0,HS-grad,9.0,Never-married,?,Other-relative,White,Female,0.0,0.0,35.0,United-States,<=50K,3
41.0,Private,445382.0,Masters,14.0,Married-civ-spouse,Exec-managerial,Husband,White,Male,0.0,1977.0,65.0,United-States,>50K,3
28.0,?,123147.0,Some-college,10.0,Married-civ-spouse,?,Wife,White,Female,0.0,1887.0,40.0,United-States,>50K,4
32.0,Private,364657.0,Some-college,10.0,Married-civ-spouse,Exec-managerial,Husband,White,Male,0.0,0.0,50.0,United-States,<=50K,3
35.0,Private,92440.0,12th,8.0,Divorced,Craft-repair,Not-in-family,White,Male,0.0,0.0,50.0,United-States,>50K,3
34.0,Local-gov,243867.0,11th,7.0,Separated,Machine-op-inspct,Not-in-family,Black,Male,0.0,0.0,40.0,United-States,<=50K,5
20.0,Private,61777.0,Some-college,10.0,Married-civ-spouse,Sales,Husband,White,Male,0.0,0.0,30.0,United-States,<=50K,2
17.0,Private,175024.0,11th,7.0,Never-married,Handlers-cleaners,Own-child,White,Male,2176.0,0.0,18.0,United-States,<=50K,2
36.0,Federal-gov,255191.0,Masters,14.0,Never-married,Prof-specialty,Not-in-family,White,Male,0.0,1408.0,40.0,United-States,<=50K,2
63.0,Self-emp-inc,222289.0,HS-grad,9.0,Married-civ-spouse,Exec-managerial,Husband,White,Male,0.0,0.0,40.0,United-States,>50K,3
30.0,Private,29662.0,Assoc-acdm,12.0,Married-civ-spouse,Other-service,Wife,White,Female,0.0,0.0,25.0,United-States,>50K,3
27.0,Private,116358.0,Some-college,10.0,Never-married,Craft-repair,Own-child,Asian-Pac-Islander,Male,0.0,1980.0,40.0,Philippines,<=50K,1
33.0,Private,208405.0,Masters,14.0,Married-civ-spouse,Prof-specialty,Husband,White,Male,0.0,0.0,50.0,United-States,>50K,3
42.0,Local-gov,340148.0,Some-college,10.0,Married-civ-spouse,Adm-clerical,Wife,White,Female,0.0,0.0,40.0,United-States,<=50K,1
29.0,Private,363425.0,Bachelors,13.0,Never-married,Prof-specialty,Not-in-family,White,Male,0.0,0.0,40.0,United-States,<=50K,5
27.0,Private,405855.0,9th,5.0,Never-married,Craft-repair,Other-relative,White,Male,0.0,0.0,40.0,Mexico,<=50K,4
51.0,Private,56915.0,HS-grad,9.0,Married-civ-spouse,Craft-repair,Husband,Amer-Indian-Eskimo,Male,0.0,0.0,40.0,United-States,<=50K,5
20.0,Private,146538.0,HS-grad,9.0,Married-civ-spouse,Machine-op-inspct,Husband,White,Male,0.0,0.0,40.0,United-States,<=50K,5
17.0,?,258872.0,11th,7.0,Never-married,?,Own-child,White,Female,0.0,0.0,5.0,United-States,<=50K,3
19.0,Private,206399.0,HS-grad,9.0,Never-married,Machine-op-inspct,Own-child,Black,Female,0.0,0.0,40.0,United-States,<=50K,4
42.0,Private,197583.0,Assoc-acdm,12.0,Married-civ-spouse,Exec-managerial,Husband,Black,Male,0.0,0.0,40.0,?,>50K,3
44.0,Self-emp-not-inc,234885.0,HS-grad,9.0,Married-civ-spouse,Sales,Wife,White,Female,0.0,0.0,40.0,United-States,>50K,3
40.0,Private,72887.0,Assoc-voc,11.0,Married-civ-spouse,Machine-op-inspct,Husband,Asian-Pac-Islander,Male,0.0,0.0,40.0,United-States,>50K,3
38.0,Private,351299.0,Some-college,10.0,Married-civ-spouse,Transport-moving,Husband,Black,Male,0.0,0.0,50.0,United-States,<=50K,3
32.0,?,115745.0,Some-college,10.0,Married-civ-spouse,?,Husband,White,Male,0.0,0.0,40.0,United-States,<=50K,4
54.0,Local-gov,288825.0,HS-grad,9.0,Married-civ-spouse,Transport-moving,Husband,Black,Male,0.0,0.0,40.0,United-States,<=50K,3
24.0,Private,170070.0,Bachelors,13.0,Never-married,Tech-support,Not-in-family,White,Female,0.0,0.0,20.0,United-States,<=50K,1
37.0,Private,126708.0,HS-grad,9.0,Married-civ-spouse,Adm-clerical,Wife,White,Female,0.0,0.0,60.0,United-States,<=50K,1
52.0,Private,35598.0,HS-grad,9.0,Divorced,Transport-moving,Unmarried,White,Male,0.0,0.0,40.0,United-States,<=50K,2
38.0,Private,33983.0,Some-college,10.0,Married-civ-spouse,Transport-moving,Husband,White,Male,0.0,0.0,40.0,United-States,<=50K,1
22.0,?,139883.0,Some-college,10.0,Never-married,?,Own-child,White,Male,0.0,0.0,40.0,United-States,<=50K,3
35.0,Private,285020.0,HS-grad,9.0,Never-married,Craft-repair,Not-in-family,White,Male,0.0,0.0,40.0,United-States,<=50K,2
30.0,Private,303990.0,HS-grad,9.0,Never-married,Transport-moving,Not-in-family,White,Male,0.0,0.0,60.0,United-States,<=50K,4
22.0,Private,281432.0,Some-college,10.0,Never-married,Handlers-cleaners,Own-child,White,Male,0.0,0.0,30.0,United-States,<=50K,5
27.0,Private,161155.0,10th,6.0,Never-married,Other-service,Not-in-family,White,Male,0.0,0.0,40.0,United-States,<=50K,3
23.0,Private,197904.0,HS-grad,9.0,Never-married,Other-service,Unmarried,White,Female,0.0,0.0,35.0,United-States,<=50K,3
25.0,Private,189775.0,Some-college,10.0,Married-spouse-absent,Adm-clerical,Own-child,Black,Female,0.0,0.0,20.0,United-States,<=50K,3
38.0,Private,91039.0,Bachelors,13.0,Married-civ-spouse,Sales,Husband,White,Male,15024.0,0.0,60.0,United-States,>50K,5
35.0,Private,32220.0,Assoc-acdm,12.0,Never-married,Exec-managerial,Not-in-family,White,Female,0.0,0.0,60.0,United-States,<=50K,2
34.0,Private,187251.0,HS-grad,9.0,Divorced,Prof-specialty,Unmarried,White,Female,0.0,0.0,25.0,United-States,<=50K,3
20.0,Private,262749.0,Some-college,10.0,Never-married,Machine-op-inspct,Own-child,White,Male,0.0,0.0,40.0,United-States,<=50K,4
23.0,Private,403107.0,5th-6th,3.0,Never-married,Other-service,Own-child,White,Male,0.0,0.0,40.0,El-Salvador,<=50K,4
23.0,Local-gov,324960.0,HS-grad,9.0,Never-married,Farming-fishing,Not-in-family,White,Male,0.0,0.0,40.0,Poland,<=50K,2
58.0,Private,180980.0,Some-college,10.0,Divorced,Other-service,Unmarried,White,Female,0.0,0.0,42.0,France,<=50K,3
25.0,Private,267044.0,Some-college,10.0,Never-married,Adm-clerical,Not-in-family,Amer-Indian-Eskimo,Female,0.0,0.0,20.0,United-States,<=50K,2
38.0,Self-emp-inc,99146.0,Bachelors,13.0,Married-civ-spouse,Exec-managerial,Husband,White,Male,15024.0,0.0,80.0,United-States,>50K,5
37.0,Local-gov,186035.0,Some-college,10.0,Married-civ-spouse,Tech-support,Husband,White,Male,0.0,0.0,45.0,United-States,>50K,1
44.0,Private,177905.0,Some-college,10.0,Divorced,Machine-op-inspct,Unmarried,White,Male,0.0,0.0,58.0,United-States,>50K,1
38.0,Self-emp-not-inc,190387.0,HS-grad,9.0,Married-civ-spouse,Craft-repair,Husband,White,Male,0.0,0.0,50.0,United-States,<=50K,4
44.0,Self-emp-not-inc,202692.0,Masters,14.0,Married-civ-spouse,Prof-specialty,Husband,White,Male,0.0,0.0,40.0,United-States,<=50K,4
26.0,Private,108658.0,HS-grad,9.0,Never-married,Machine-op-inspct,Not-in-family,White,Male,0.0,0.0,40.0,United-States,<=50K,3
41.0,Private,101739.0,Assoc-acdm,12.0,Married-civ-spouse,Exec-managerial,Wife,White,Female,0.0,0.0,50.0,United-States,>50K,1
39.0,Local-gov,207853.0,12th,8.0,Married-civ-spouse,Tech-support,Husband,White,Male,0.0,0.0,50.0,United-States,<=50K,2
